word,count
cancel,60
sufferers,13
unimpressed,9
discourage,13
pretend,16
wreck,1
drunk,43
imperfect,3
would,1024
wasted,115
gloomy,1
trauma,2
snubbing,1
avoidance,1
irritable,10
startlingly,1
temper,5
dismayed,13
snobby,3
frantic,2
much,2005
puked,6
rejecting,3
misery,5
destroyer,5
afflicted,2
rejects,15
pukes,2
selfish,1
deceitful,1
resigned,1
disappointedly,3
stingy,4
weeping,2
ruined,60
destroyed,55
overwhelm,25
strangled,2
throw,1133
winnow,1
disguise,19
saddens,1
straining,13
violent,6
sufferer,9
confront,1
torturing,4
grosser,1
good,1011
grosses,3
empty,270
dominate,16
rancidity,7
suffered,43
serious,153
offensively,1
avert,1
grossed,11
murder,1
suspecting,3
savages,1
pay,720
alienation,1
disguised,3
strange,274
lack,241
neglected,6
disguises,2
subpar,1001
shocking,20
harm,29
disturbed,5
raging,5
displeased,8
obsolete,3
moaning,1
suing,1
fatal,6
thieves,3
possessive,1
hard,2603
assaults,1
worsen,3
depriving,2
blocks,22
insults,2
expose,8
cowardly,1
complains,9
complaint,357
battlefield,1
cancer,99
hopeless,2
bummer,31
offense,6
frustrations,4
rainy,14
tmi,5
fearing,3
ticked,8
flop,4
struck,14
hate,409
block,52
strainers,5
order,1024
poorer,4
aghast,1
neglecting,1
amorphous,1
timid,5
disrespect,1
phobic,1
suspended,7
despaired,3
unwelcome,1
harmfully,1
phobia,1
swindling,1
unhappy,54
suckered,2
restriction,3
crazy,513
despair,3
exaggerating,8
gun,7
doubted,3
faking,1
dumps,2
disgustingly,11
leaked,58
restrict,15
irony,4
bothering,14
disgusted,25
injured,9
restricting,1
smothered,8
snob,89
costly,62
violence,1
stupidity,5
worrying,21
discouraged,8
noisy,27
hates,80
denounce,1
sarcastic,2
jaded,2
hater,1
allergic,273
cheat,21
tenderloin,10
stressful,18
witch,8
tensions,2
hacked,2
heartbreaking,3
imposed,1
criticizing,4
stricken,1
lag,2
defective,29
quite,1065
hated,120
sneaky,13
distraught,2
terror,2
heroin,5
misbehave,1
liability,1
suspects,2
disagreed,2
affected,45
conflicting,3
defeats,20
violation,1
evil,10
unclear,9
prisoner,1
combat,17
appalled,10
despise,7
grievous,1
accidentally,54
intimidate,2
agitated,2
craze,12
catastrophe,1
worsening,1
victim,4
saddest,1
lunatics,1
bittersweet,31
chagrin,6
stinky,83
doubtful,8
cry,32
damning,1
cancelling,10
cancels,1
dreading,1
shitakes,1
defeating,5
flops,4
stinks,30
lame,12
refusing,12
decay,22
pity,8
uncertain,8
infuriating,1
unimportant,1
horrified,12
pita,11
whiner,1
destroys,17
snub,4
whines,2
chaos,2
regretted,5
dumplings,22
piss,1
whined,2
abhors,1
offend,5
stereotype,1
horrendous,978
villainess,1
distrustful,2
wasting,68
discarded,12
cut,866
collapsed,5
killing,38
starve,6
dread,5
strains,3
accident,64
found,1012
worries,51
attack,36
worried,228
irritants,1
mindless,3
dodgy,2
unappetizing,1931
stench,3
cruelty,8
refused,114
suckers,20
beating,9
perplexed,8
anxiously,14
forbidden,5
shakiness,1
accused,1
inhibit,5
deviled,6
torture,12
tragedy,1
collapses,3
enslaved,2
detained,1
demanded,3
inedible,1077
shockingly,6
crudely,1
disappointed,1400
shook,22
deception,2
bias,5
brutally,5
shoot,13
weakened,3
lackadaisical,1
tension,11
trapped,9
doubt,261
uncomfortable,17
misunderstand,4
disappears,19
warn,58
exposing,5
guilty,135
exaggerated,1
aching,7
carelessly,1
alarmingly,1
wars,3
away,1133
eery,1
complaining,64
disaster,1037
freak,25
weapon,9
grossest,1
denying,7
painful,35
pain,242
freaked,10
loathe,3
suspicion,4
lowering,25
gravely,1
fallen,25
jerked,1
funky,66
horrifying,5
pushy,3
notorious,10
obstacles,3
heh,2
complacent,1
panicked,10
controversial,14
trap,73
lonely,4
deprive,1
struggle,33
lousy,31
furiously,3
aggravating,3
destroy,38
geeky,3
outrageously,17
geeks,2
screwup,2
stubborn,14
lazy,75
questioning,7
uncomfortably,3
aggressively,7
offends,5
hoax,1
anti,12
accidental,3
complainers,2
low,2126
confusing,22
contradiction,2
fiasco,1
suffers,40
terrified,5
fury,2
unfortunately,1874
disliking,3
disgrace,3
disturbs,2
abandoning,3
lamenting,1
hesitantly,1
contradicted,2
crushing,11
hid,16
defeated,2
doom,2
hardier,3
stomach,847
shames,2
suspiciously,11
unimpressive,7
disappeared,66
interrupt,2
slashed,1
unethical,3
gross,231
contradicting,1
illegal,13
grossly,8
careless,7
distrust,2
hurts,16
absolutely,1357
critical,36
insulted,2
hopelessly,2
steals,3
jealousy,2
misread,3
blaming,7
frighten,1
fooled,54
banned,39
boycott,6
harshest,1
spiteful,1
tricked,8
unease,2
revenge,1
poisonings,3
meal,2962
terrors,1
uneasy,2
oxymoron,1
numbing,3
resent,3
fiery,6
borers,1
gagged,30
startled,1
contradictions,1
ugh,41
killer,26
abusing,1
shock,27
hellish,2
mourning,1
scaring,1
dork,1
distort,1
litigious,1
prejudiced,2
disregarded,1
stinking,7
smear,11
touted,25
weirdly,9
sceptical,6
dumbed,2
unmatched,1
haunts,2
blocking,7
annoyed,22
greediest,1
rigid,5
bully,46
outraged,3
right,1075
dragged,3
stealing,10
lethargic,17
dirtier,1
abused,6
die,97
battling,1
apathetic,1
emergency,63
inconvenient,12
cheated,21
dangerously,7
fears,5
ignores,9
forgotten,31
evils,2
maniacally,1
ignored,34
exhaust,3
revolting,1020
contradictory,3
misleading,109
irritations,3
toughest,6
rigged,1
puzzled,13
undecided,3
blame,62
confusion,15
awol,1
distract,10
forbids,3
rather,1961
whore,2
miss,294
disguising,2
deceived,11
exposes,1
disgusting,1298
exposed,40
ignore,40
bland,949
shameful,4
bloody,26
emptying,6
crazed,3
abusive,1
idiot,20
killed,37
ludicrous,1
cheater,1
repulsed,4
envy,2
arguing,2
exhausted,10
aggravates,1
grossing,1
obsessing,1
undeserving,1
lurks,1
fools,6
weakening,1
fear,62
lying,32
fired,16
suspected,22
made,1036
adversely,6
ridicule,1
stall,1
protest,4
detached,2
stinkier,2
aggravated,2
doa,2
warned,80
disillusioned,1
curse,1
cancelled,45
maniac,5
upset,281
petrify,1
thief,2
unpleasant,202
embarrassed,26
obsession,8
nerves,9
abomination,1093
mad,47
grimacing,1
stank,2
disappointments,5
illness,40
thwarting,1
could,3293
strike,13
boycotting,6
discarding,5
embarrasses,1
looming,2
confuses,2
feel,1036
terribly,82
sadness,2
envious,2
drown,8
annoys,4
confused,60
unprofessional,4
find,1028
weaknesses,4
terrible,2851
fraudulent,1
waste,571
cries,13
horridly,3
overreacted,1
travesty,3
pleasant,982
difficult,595
seriously,285
pressure,214
poisoned,8
interrupted,4
apprehensions,1
cheating,15
undesirable,21
numb,9
forget,204
sore,85
petty,1
problems,903
dangerous,77
mess,1490
troubles,18
pathetically,1
nonsense,12
meh,16
guiltier,1
reckless,1
threats,4
troubled,5
worsens,1
mooches,1
wicked,10
shocker,2
falling,58
downside,159
spammer,1
questioned,5
shocked,133
dud,8
threat,5
boredom,7
annoy,5
feared,8
overwhelms,18
scream,12
giddy,3
sorrow,1
danger,28
crash,53
hiding,45
whining,13
ignorant,3
fire,58
obsessive,9
meaningless,4
drowns,2
dissatisfied,29
beaten,19
greedily,6
laziest,3
something,1024
avoided,30
rude,13
disastrous,2
funeral,2
impatiently,2
expel,1
mia,7
contradicts,1
ironic,7
resentfully,2
lone,6
scam,4
toughie,2
shamefully,1
frightening,3
destruction,5
cuts,71
dirty,83
bother,196
bothers,26
weary,15
exploiting,1
abandon,6
stab,5
adverse,24
nastiness,7
starving,31
alarming,7
hysterics,1
forced,58
suffering,49
melancholy,1
graveyard,1
exhaustive,1
awkward,22
greedy,14
loathing,1
ruin,59
hesitated,20
crushes,1
impatient,9
complaints,184
sucker,22
crushed,153
troubling,4
exasperated,1
hunger,77
hesitates,1
idk,5
tragically,3
nuts,1013
sucked,22
culinary,1036
conflict,8
kills,25
lawsuit,6
poisonous,5
bitter,1431
sickens,1
damaging,11
hurting,14
inferior,60
propaganda,4
madness,2
starved,4
disagree,52
bittering,1
masochist,1
unprotected,4
disgust,5
86,9
agonized,2
loss,149
critic,9
disadvantages,2
lost,351
slavery,3
disliked,20
obstacle,1
worn,9
dizzy,4
work,897
lose,277
dislikes,18
worsened,1
fail,1097
enjoyable,1003
irritating,18
betrayed,4
moans,1
humiliating,1
distress,15
damages,3
perversion,1
isolated,8
enjoy,980
dumpster,1
eat,1357
snobbish,1
pretends,3
cramp,7
combats,2
disagreement,1
exhaustion,2
grimaced,1
upsets,20
disagreeable,4
skeptic,13
destructive,19
stink,48
duller,3
damaged,183
cutting,110
dulled,4
dismaying,2
censor,1
isolates,2
fake,196
spam,18
upsetting,11
insult,19
regrettably,2
seduced,2
bizarre,13
illnesses,14
struggled,30
exhausting,1
conspiracy,2
spite,22
regrettable,6
harmed,2
struggles,4
stressing,3
irritability,2
devilishly,1
petrified,1
devilish,2
ill,1643
disheartened,3
failed,53
coward,1
accidents,9
lows,3
paranoid,9
assaulted,2
coerced,1
death,76
steal,51
distractions,1
error,74
jealous,10
unmotivated,1
degrade,3
haunting,2
grave,3
tricks,54
shameless,1
attacking,3
irritates,2
tricky,37
ineffective,6
worthless,24
stolen,3
unwanted,15
slash,2
irritated,17
vague,14
flavors,2074
crappy,28
