word,count
like,22538
good,17375
great,14382
love,11048
amazon,6594
best,6593
better,6062
well,5983
sweet,4442
recommend,3798
favorite,3626
nice,3493
delicious,3468
want,3426
loves,3182
free,3013
easy,2954
healthy,2872
perfect,2861
treat,2832
sure,2791
strong,2727
definitely,2642
enjoy,2629
fresh,2505
pretty,2415
natural,2344
happy,2325
excellent,2024
wonderful,2016
worth,1914
loved,1754
kind,1517
liked,1401
fine,1401
top,1398
wish,1308
save,1281
recommended,1278
teas,1241
help,1177
rich,1173
fan,1145
amazing,1073
glad,1066
friends,1027
likes,1024
bold,1006
easily,995
enjoyed,932
gift,929
ok,918
giving,902
energy,896
value,888
thank,888
super,888
surprised,885
awesome,847
thanks,842
original,835
hand,830
clean,820
special,804
care,797
yummy,781
huge,759
pleased,759
hope,729
yes,721
excited,677
friend,666
helps,664
certainly,660
fantastic,656
please,653
true,607
sweetness,604
easier,601
vitamin,557
truly,525
fun,521
warm,521
okay,498
satisfying,486
pleasant,480
perfectly,480
number,462
ready,459
wow,459
benefits,457
grey,442
hoping,440
impressed,437
diamond,428
stronger,410
fit,405
agree,401
favorites,400
feeling,400
straight,388
fair,388
satisfied,387
important,383
nicely,379
freeze,370
cool,361
clear,359
pleasantly,342
chance,340
share,339
admit,327
safe,327
surprise,322
lover,315
careful,311
thrilled,309
solid,308
honestly,289
enjoying,285
party,285
play,283
appreciate,283
satisfy,280
enjoys,277
interesting,277
beautiful,275
boost,269
prepared,263
interested,259
positive,246
lovely,243
strength,242
superior,236
clearly,232
growing,231
goodness,228
certain,225
fabulous,225
enjoyable,217
shared,214
popular,210
robust,209
intense,207
trust,205
bonus,202
funny,199
allow,198
luck,196
lovers,193
teaspoon,192
miracle,192
interest,190
lol,190
outstanding,189
terrific,188
bargain,185
hopefully,179
ease,176
sparkling,176
carefully,173
delightful,171
effective,171
amazed,169
cute,169
surprisingly,169
benefit,168
helpful,166
delighted,164
delicate,164
smart,162
winner,162
saved,161
scoop,160
solution,158
create,158
honest,153
heaven,153
delight,152
success,151
strongly,151
favor,148
lucky,147
helping,147
increase,145
soothing,143
wellness,139
yeah,137
wonderfully,135
improved,135
pleasure,132
happily,131
bright,128
support,127
playing,126
liking,125
ideal,124
active,122
happier,122
god,121
increased,121
loving,120
challenge,118
hopes,117
pleasing,117
rescue,115
acceptable,113
wise,112
superb,112
powerful,111
holiday,111
desired,110
fond,110
hoped,109
created,108
generous,107
improvement,104
gain,104
sweets,103
improve,102
friendly,102
reward,101
definite,100
useful,99
intact,96
curious,96
granted,95
palatable,94
warmed,94
relief,93
relaxing,93
luckily,93
impression,92
richer,91
advantage,91
immune,90
win,90
importantly,88
holidays,88
beautifully,88
opportunity,87
adore,86
attractive,85
tolerance,84
agreed,84
significant,82
gentle,82
promised,81
greatest,81
appreciated,80
credit,80
adequate,80
joy,79
solved,77
fyi,76
avid,76
passion,75
united,74
promise,74
kidding,74
ensure,73
ability,73
peace,73
comfort,72
truth,71
welcome,70
satisfaction,70
comfortable,70
parties,68
dream,67
calm,67
teaspoons,66
cleaner,65
surprising,65
smile,65
recommends,65
compliment,65
satisfies,65
safety,64
thankfully,64
heavenly,64
challenging,64
bolder,63
guarantee,63
desire,63
alright,63
richness,62
tops,61
joke,61
creates,60
grateful,60
substantial,60
alive,59
impressive,59
neat,59
values,59
creating,58
sharing,58
beneficial,58
surely,57
accept,57
competitive,56
fav,56
beloved,56
unbelievable,56
warming,56
enjoyment,55
accepted,55
exciting,55
calming,54
encourage,54
harmony,54
supreme,54
relax,53
played,53
comforting,52
thankful,52
protect,52
divine,51
plays,51
convinced,51
enthusiastic,50
greater,50
favors,49
supports,49
responsible,49
gently,48
flexible,48
creative,48
excuse,48
compliments,47
gained,46
perfection,45
eager,45
secure,44
delectable,44
strongest,44
loyal,44
promotes,44
entertaining,44
worthy,44
nicer,43
elegant,43
cares,43
eagerly,43
assured,43
chances,42
beauty,42
overwhelmed,42
ha,42
yay,42
securely,42
profits,42
safely,42
stable,41
easiest,41
won,40
grand,40
relieved,40
discounted,40
cleared,39
successful,39
praise,39
confidence,38
deliciously,38
approved,38
safer,37
dreams,37
motivated,37
charity,37
entertained,37
relieve,37
proud,37
escapes,37
energetic,36
reached,36
champagne,35
confident,34
soothe,34
fave,34
agrees,34
kudos,34
trusted,34
gaining,33
impress,33
convince,33
enthusiasm,33
approval,33
brilliant,33
hopeful,33
neatly,33
yep,32
fulfilled,32
rescued,31
mature,31
gorgeous,30
expand,30
solve,30
haha,30
determined,30
respect,30
positively,30
desirable,30
delights,30
gladly,30
adores,30
sophisticated,30
promote,29
scrumptious,29
marvelous,29
supporting,29
relaxed,29
blessing,29
growth,29
improves,29
profit,29
vibrant,28
assure,28
effectively,28
remarkable,28
reaching,28
satisfactory,28
resolved,28
favorable,27
fortunate,27
laugh,27
rewards,27
precious,27
lifesaver,27
caring,27
godsend,27
join,26
irresistible,26
successfully,26
inviting,26
adorable,26
alert,26
ethical,26
prevents,26
focused,26
deliciousness,26
efficient,26
dear,26
committing,26
excitement,25
ecstatic,25
cared,25
entertain,25
cheers,24
verdict,24
adventurous,24
wins,24
complimentary,24
dedicated,24
spirit,24
clever,24
generously,24
legal,23
casual,23
lively,23
entertainment,22
adventure,22
boldness,22
sunshine,22
appreciation,22
warmth,22
pride,21
devoted,21
charm,21
worthwhile,21
promises,21
honesty,21
protected,21
valuable,21
interestingly,20
survived,20
escape,20
tx,20
favorably,20
resolve,20
anticipation,20
compelled,19
delightfully,19
commit,19
rewarding,19
calms,19
fitness,19
sincerely,19
extend,19
warmer,19
hardy,18
accomplish,18
ez,18
attracted,18
tougher,18
brighter,18
advanced,18
excellence,18
popularity,18
kisses,18
improving,18
respectable,17
smiles,17
kiss,17
honor,17
jolly,17
truthfully,17
promoting,17
novel,17
energized,17
glory,17
faith,16
festival,16
proudly,16
chuckles,16
happiness,16
charms,16
smarter,16
wishing,16
pleasures,16
optimal,16
bless,15
encouraging,15
wp,15
vitality,15
integrity,15
bliss,15
